employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
MARBLE BRIDGE FUNDING GROUP,89,corrected,"555 Madison Avenue, 12th Floor, New York, NY",NY,"1440 Maria Lane, Suite 210",CA,CA:89
RNDC,83,corrected,"300 Erie Boulevard West, Suite 100, Syracuse, NY",NY,1010 Isuzu Pkwy,TX,GA:83
UBS FINANCIAL SERVICES INC,60,corrected,"1285 Avenue of the Americas, New York, NY",NY,1200 Harbor Boulevard,NJ,MD:29; NC:15; IL:10
BECKERS HEALTHCARE AND MCGUIREWOODS,57,unknown,"Gateway Plaza, 800 East Canal Street",VA,,,IL:57
TEAMHEALTH,56,corrected,"1000 SW Broadway, Ste 1900, Portland, OR",OR,"265 Brookview Centre Way, Suite 203",TN,OH:56
THE STERLING GROUP,54,corrected,"2815 Coliseum Centre Dr, Ste 600, Charlotte, NC",NC,"9 Greenway Plaza, Suite 2400",TX,TX:54
"ALTOPASS, INC",54,corrected,"1 CHRISTIE PLZ STE 200, EAST HANOVER, NJ",NJ,"405 El Camino Real, Suite 629",CA,CA:54
NOBLE PROPERTIES,52,corrected,"501 Boylston St, 4th Floor, Boston, MA",MA,"4280 Professional Center Drive, Suite 100",FL,FL:52
GREENWOOD GAMING INC,52,corrected,"1 Players Club Drive, Schenectady, NY",NY,2999 Street Road,PA,PA:52
MARSH MCLENNAN AGENCY,52,unknown,1166 Avenue of the Americas,NY,,,TX:39; IL:13
PORTAGE PARTNERS,51,corrected,"600 West Chicago Avenue, Suite 700, Chicago, IL",IL,"10 East 53rd Street, 18th Floor",NY,NY:51
FEI,50,confirmed,5350 NE Dawson Creek Drive,OR,,,CO:46; CA:4
RAYMOND JAMES,49,confirmed,880 Carillon Parkway,FL,,,MI:21; CA:15; PA:5
LIPSEY'S,49,corrected,"2107 Gateway Centre Blvd, Columbus, OH",OH,7277 Exchequer Drive,LA,LA:49
