match_street,match_state,match_zip,street,unit,city,state,zip,source
1100 SUPERIOR AVE E,OH,44114,1100 E SUPERIOR AVE,,,,,manual_verified
112 PINEBROOK DR W,AL,36608,112 W PINEBROOK DR,,,,,manual_verified
1742 GOLF RIDGE DR S,MI,48302,1742 S GOLF RIDGE DR,,,,,manual_verified
17800 LAUREL PARK DR N,MI,48152,17800 N LAUREL PARK DR,,,,,manual_verified
3750 LAS VEGAS BLVD S,NV,89158,3750 S LAS VEGAS BLVD,,,,,manual_verified
60 COMMONWEALTH PARK W,MA,02459,60 W COMMONWEALTH PARK,,,,,manual_verified
672 LAKEWOODE CIR E,FL,33445,672 E LAKEWOODE CIR,,,,,manual_verified
7 RIDGEVIEW RD N,FL,34996,7 N RIDGEVIEW RD,,,,,manual_verified
78 COMMONWEALTH PARK W,MA,02459,78 W COMMONWEALTH PARK,,,,,manual_verified
840 HOWELL ST N,MN,55104,840 N HOWELL ST,,,,,manual_verified
704C 13TH ST E,MT,59937,704C E 13TH ST,STE 260,,,,manual_verified
42 W E 48TH ST,NY,10017,42 W 48TH ST,STE 706-707,,,10036,manual_verified
159 W 159 W,NY,10023,159 W 74TH ST,APT GR,,,,manual_verified
200 W SREET,NY,10282,200 W ST,,,,,census
235 DEERCROFT DR,VA,24069,235 DEERCROFT DR,,,,24060,census
240 MPARK LN,CA,92027,240 PARK LN,,,,94027,census
437 MADISON AVE ST,NY,10022,437 MADISON AVE,,,,,census
9 W 57 ST,NY,10506,9 W 57TH ST,,,,10019,census
928 BROADWAY AVE,NY,10010,928 BROADWAY,,,,,census
1101 IVEAN PEARSON RD,CA,90292,1101 IVEAN PEARSON RD,,LAGO VISTA,TX,78645,census
268 CHESTNUT ST,NY,11963,268 CHESTNUT ST,,ENGLEWOOD,NJ,07631,https://docquery.fec.gov/pdf/754/202604159862333754/202604159862333754.pdf
