Table,Name,Street 1,Street 2,City,State,Type,Google Maps Link
key_accomplices,Jordana Cutler,Israel,,Israel,,Missing City/State,https://www.google.com/maps/search/?api=1&query=Israel%2C%20Israel
key_accomplices,Merav Ceren,,,Washington,DC,Missing Street,https://www.google.com/maps/search/?api=1&query=Washington%2C%20DC%2C%20USA
key_accomplices,Bari Weiss,,,New York,NY,Missing Street,https://www.google.com/maps/search/?api=1&query=New%20York%2C%20NY%2C%20USA
key_accomplices,Ben Shapiro,,,Nashville,TN,Missing Street,https://www.google.com/maps/search/?api=1&query=Nashville%2C%20TN%2C%20USA
key_accomplices,Debbie Wasserman Schultz,,,Weston,FL,Missing Street,https://www.google.com/maps/search/?api=1&query=Weston%2C%20FL%2C%20USA
key_accomplices,Jeffrey Epstein,,,Palm Beach,FL,Missing Street,https://www.google.com/maps/search/?api=1&query=Palm%20Beach%2C%20FL%2C%20USA
key_accomplices,Howard Schultz,,,Seattle,WA,Missing Street,https://www.google.com/maps/search/?api=1&query=Seattle%2C%20WA%2C%20USA
key_accomplices,Dana Bash,,,Washington,DC,Missing Street,https://www.google.com/maps/search/?api=1&query=Washington%2C%20DC%2C%20USA
key_accomplices,Jake Tapper,,,Washington,DC,Missing Street,https://www.google.com/maps/search/?api=1&query=Washington%2C%20DC%2C%20USA
key_accomplices,Michael Bloomberg,,,New York,NY,Missing Street,https://www.google.com/maps/search/?api=1&query=New%20York%2C%20NY%2C%20USA
key_accomplices,Shari Redstone,,,Westwood,MA,Missing Street,https://www.google.com/maps/search/?api=1&query=Westwood%2C%20MA%2C%20USA
key_accomplices,Mike Huckabee,,,Santa Rosa Beach,FL,Missing Street,https://www.google.com/maps/search/?api=1&query=Santa%20Rosa%20Beach%2C%20FL%2C%20USA
key_accomplices,Noa Tishby,,,Culver City,CA,Missing Street,https://www.google.com/maps/search/?api=1&query=Culver%20City%2C%20CA%2C%20USA
key_accomplices,David Ellison,,,Santa Monica,CA,Missing Street,https://www.google.com/maps/search/?api=1&query=Santa%20Monica%2C%20CA%2C%20USA
