variant,canonical,source
SENIOR HOUSING GROUP SELF-EMPLOYED,SENIOR HOUSING GROUP,donor_overlap
LMR ADVISORS (SELF EMPLOYED),LMR ADVISORS,donor_overlap
BLVD INN AND BISTRO/ SELF EMPLOYED AT,BLVD INN AND BISTRO,donor_overlap
MORLEES/SELF EMPLOYED,MORLEES,donor_overlap
C/O SCHUWARGER & ASSOCIATES,SCHUWARGER & ASSOCIATES,manual
NOT IN WORKFORCE,NOT EMPLOYED,donor_overlap
NO EMPLOYER,NOT EMPLOYED,donor_overlap
NOTEMPLOYS,NOT EMPLOYED,donor_overlap
NAT EMPLOYED,NOT EMPLOYED,donor_overlap
SE;F EMPLOYED,SELF-EMPLOYED,donor_overlap
SEND-EMPLOYED,SELF-EMPLOYED,donor_overlap
SEPT EMPLOYED,SELF-EMPLOYED,donor_overlap
SELF-EMPLOYED PROGRAM,SELF-EMPLOYED,donor_overlap
"SELF-EMPLOYED, CONSULTANT FOR WITHIN H",SELF-EMPLOYED,donor_overlap
I AM RETIRED,RETIRED,donor_overlap
RETIREDE,RETIRED,donor_overlap
RETIREFT,RETIRED,donor_overlap
RETIRED SELF EMPLOYED,RETIRED,donor_overlap
SELF RETIRED,RETIRED,donor_overlap
RETIRED MILITARY,RETIRED,donor_overlap
PRICEWATERHOUSECOOPERS,PWC,donor_overlap
PWC US,PWC,donor_overlap
PWC US TAX,PWC,donor_overlap
PWC US TAX LLP,PWC,donor_overlap
MWE,MCDERMOTT WILL & EMERY LLP,donor_overlap
JONES LANG LASALLE,JLL,donor_overlap
NEW YORK UNIVERSITY,NYU,donor_overlap
CITY UNIVERSITY OF NEW YORK,CUNY,donor_overlap
MMA,MARSH MCLENNAN AGENCY,donor_overlap
ADVANCED GASTROENTEROLOGY ASSOCIATES,ADVANCED GASTROENTEROLOGY GROUP,donor_overlap
IDEAL FASTNER CORPORATION,IDEAL FASTENER,donor_overlap
CENTRBASE,CENTERBASE LLC,donor_overlap
MXGUIREWOODS,MCGUIREWOODS,donor_overlap
ENT AND ALLERGY OF DE,ENT AND ALLERGY OF DELAWARE,donor_overlap
SOUTHWEST REGIONAL COUNCIL OF CARPENTE,SOUTHWEST MOUNTAIN STATES COUNCIL OF CARPENTERS,donor_overlap
SOUTHWEST MOUNTAIN STATES COUNCIL OF C,SOUTHWEST MOUNTAIN STATES COUNCIL OF CARPENTERS,donor_overlap
OSTWALD LAW,OSTWALD LAW OFFICES,donor_overlap
