zip,lat,lng,source,fetched_at
00601,18.180555,-66.749961,census_gazetteer_2023,2025-09-12 15:25:02.814031
00602,18.361945,-67.175597,census_gazetteer_2023,2025-09-12 15:25:02.814031
00603,18.457399,-67.124867,census_gazetteer_2023,2025-09-12 15:25:02.814031
00606,18.158327,-66.932928,census_gazetteer_2023,2025-09-12 15:25:02.814031
00610,18.295304,-67.12518,census_gazetteer_2023,2025-09-12 15:25:02.814031
00611,18.276316,-66.807165,census_gazetteer_2023,2025-09-12 15:25:02.814031
00612,18.416727,-66.70009,census_gazetteer_2023,2025-09-12 15:25:02.814031
00616,18.420412,-66.671979,census_gazetteer_2023,2025-09-12 15:25:02.814031
00617,18.446889,-66.561154,census_gazetteer_2023,2025-09-12 15:25:02.814031
00622,17.988103,-67.160357,census_gazetteer_2023,2025-09-12 15:25:02.814031
00623,18.084371,-67.158765,census_gazetteer_2023,2025-09-12 15:25:02.814031
00624,18.051808,-66.721711,census_gazetteer_2023,2025-09-12 15:25:02.814031
00627,18.412507,-66.863811,census_gazetteer_2023,2025-09-12 15:25:02.814031
00631,18.184294,-66.830795,census_gazetteer_2023,2025-09-12 15:25:02.814031
00636,18.1636,-67.080097,census_gazetteer_2023,2025-09-12 15:25:02.814031
00637,18.080103,-66.947975,census_gazetteer_2023,2025-09-12 15:25:02.814031
00638,18.280188,-66.513111,census_gazetteer_2023,2025-09-12 15:25:02.814031
00641,18.268074,-66.701785,census_gazetteer_2023,2025-09-12 15:25:02.814031
00646,18.432897,-66.286499,census_gazetteer_2023,2025-09-12 15:25:02.814031
00647,17.963613,-66.947127,census_gazetteer_2023,2025-09-12 15:25:02.814031
00650,18.349209,-66.578112,census_gazetteer_2023,2025-09-12 15:25:02.814031
00652,18.44844,-66.59411,census_gazetteer_2023,2025-09-12 15:25:02.814031
00653,17.988642,-66.90169,census_gazetteer_2023,2025-09-12 15:25:02.814031
00656,18.040426,-66.789672,census_gazetteer_2023,2025-09-12 15:25:02.814031
00659,18.407226,-66.808999,census_gazetteer_2023,2025-09-12 15:25:02.814031
00660,18.134695,-67.116199,census_gazetteer_2023,2025-09-12 15:25:02.814031
00662,18.468301,-67.015749,census_gazetteer_2023,2025-09-12 15:25:02.814031
00664,18.21033,-66.591616,census_gazetteer_2023,2025-09-12 15:25:02.814031
00667,18.003422,-67.03581,census_gazetteer_2023,2025-09-12 15:25:02.814031
00669,18.276925,-66.869587,census_gazetteer_2023,2025-09-12 15:25:02.814031
00670,18.233585,-66.987585,census_gazetteer_2023,2025-09-12 15:25:02.814031
00674,18.424145,-66.487895,census_gazetteer_2023,2025-09-12 15:25:02.814031
00676,18.381597,-67.080884,census_gazetteer_2023,2025-09-12 15:25:02.814031
00677,18.332568,-67.227022,census_gazetteer_2023,2025-09-12 15:25:02.814031
00678,18.430503,-66.930479,census_gazetteer_2023,2025-09-12 15:25:02.814031
00680,18.183493,-67.133054,census_gazetteer_2023,2025-09-12 15:25:02.814031
00682,18.224864,-67.153891,census_gazetteer_2023,2025-09-12 15:25:02.814031
00683,18.1078,-67.037263,census_gazetteer_2023,2025-09-12 15:25:02.814031
00685,18.336887,-66.972929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00687,18.318017,-66.420392,census_gazetteer_2023,2025-09-12 15:25:02.814031
00688,18.382311,-66.626416,census_gazetteer_2023,2025-09-12 15:25:02.814031
00690,18.493543,-67.096915,census_gazetteer_2023,2025-09-12 15:25:02.814031
00692,18.410652,-66.336202,census_gazetteer_2023,2025-09-12 15:25:02.814031
00693,18.425961,-66.398098,census_gazetteer_2023,2025-09-12 15:25:02.814031
00694,18.483127,-66.39236,census_gazetteer_2023,2025-09-12 15:25:02.814031
00698,18.072916,-66.85119,census_gazetteer_2023,2025-09-12 15:25:02.814031
00703,18.248401,-66.130662,census_gazetteer_2023,2025-09-12 15:25:02.814031
00704,17.973168,-66.229011,census_gazetteer_2023,2025-09-12 15:25:02.814031
00705,18.12896,-66.266691,census_gazetteer_2023,2025-09-12 15:25:02.814031
00707,18.014055,-65.920751,census_gazetteer_2023,2025-09-12 15:25:02.814031
00714,17.995867,-66.055529,census_gazetteer_2023,2025-09-12 15:25:02.814031
00715,17.990485,-66.566143,census_gazetteer_2023,2025-09-12 15:25:02.814031
00716,17.985014,-66.606721,census_gazetteer_2023,2025-09-12 15:25:02.814031
00717,18.002639,-66.611087,census_gazetteer_2023,2025-09-12 15:25:02.814031
00718,18.23201,-65.756036,census_gazetteer_2023,2025-09-12 15:25:02.814031
00719,18.28992,-66.25344,census_gazetteer_2023,2025-09-12 15:25:02.814031
00720,18.216608,-66.423682,census_gazetteer_2023,2025-09-12 15:25:02.814031
00723,18.019337,-66.001862,census_gazetteer_2023,2025-09-12 15:25:02.814031
00725,18.220689,-66.03958,census_gazetteer_2023,2025-09-12 15:25:02.814031
00727,18.211921,-66.073355,census_gazetteer_2023,2025-09-12 15:25:02.814031
00728,17.991071,-66.662968,census_gazetteer_2023,2025-09-12 15:25:02.814031
00729,18.334918,-65.887078,census_gazetteer_2023,2025-09-12 15:25:02.814031
00730,18.030882,-66.611928,census_gazetteer_2023,2025-09-12 15:25:02.814031
00731,18.109947,-66.635622,census_gazetteer_2023,2025-09-12 15:25:02.814031
00735,18.252179,-65.665631,census_gazetteer_2023,2025-09-12 15:25:02.814031
00736,18.103624,-66.151667,census_gazetteer_2023,2025-09-12 15:25:02.814031
00738,18.304458,-65.698711,census_gazetteer_2023,2025-09-12 15:25:02.814031
00739,18.175543,-66.162102,census_gazetteer_2023,2025-09-12 15:25:02.814031
00740,18.333961,-65.631674,census_gazetteer_2023,2025-09-12 15:25:02.814031
00741,18.163855,-65.754042,census_gazetteer_2023,2025-09-12 15:25:02.814031
00745,18.352176,-65.810929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00751,18.003779,-66.262905,census_gazetteer_2023,2025-09-12 15:25:02.814031
00754,18.144582,-65.972253,census_gazetteer_2023,2025-09-12 15:25:02.814031
00757,17.991428,-66.402337,census_gazetteer_2023,2025-09-12 15:25:02.814031
00765,18.124207,-65.42307,census_gazetteer_2023,2025-09-12 15:25:02.814031
00766,18.130718,-66.472244,census_gazetteer_2023,2025-09-12 15:25:02.814031
00767,18.069489,-65.896029,census_gazetteer_2023,2025-09-12 15:25:02.814031
00769,18.096641,-66.358335,census_gazetteer_2023,2025-09-12 15:25:02.814031
00771,18.187148,-65.871189,census_gazetteer_2023,2025-09-12 15:25:02.814031
00772,18.438944,-65.90522,census_gazetteer_2023,2025-09-12 15:25:02.814031
00773,18.342888,-65.723109,census_gazetteer_2023,2025-09-12 15:25:02.814031
00775,18.326611,-65.307771,census_gazetteer_2023,2025-09-12 15:25:02.814031
00777,18.224327,-65.909085,census_gazetteer_2023,2025-09-12 15:25:02.814031
00778,18.264076,-65.97851,census_gazetteer_2023,2025-09-12 15:25:02.814031
00780,18.094076,-66.565781,census_gazetteer_2023,2025-09-12 15:25:02.814031
00782,18.224878,-66.224482,census_gazetteer_2023,2025-09-12 15:25:02.814031
00783,18.300221,-66.328927,census_gazetteer_2023,2025-09-12 15:25:02.814031
00784,18.010714,-66.133615,census_gazetteer_2023,2025-09-12 15:25:02.814031
00786,18.135725,-66.228698,census_gazetteer_2023,2025-09-12 15:25:02.814031
00791,18.142603,-65.812812,census_gazetteer_2023,2025-09-12 15:25:02.814031
00794,18.200018,-66.309282,census_gazetteer_2023,2025-09-12 15:25:02.814031
00795,18.04645,-66.495142,census_gazetteer_2023,2025-09-12 15:25:02.814031
00802,18.342939,-64.925102,census_gazetteer_2023,2025-09-12 15:25:02.814031
00820,17.736627,-64.708215,census_gazetteer_2023,2025-09-12 15:25:02.814031
00830,18.338559,-64.73653,census_gazetteer_2023,2025-09-12 15:25:02.814031
00840,17.72471,-64.848522,census_gazetteer_2023,2025-09-12 15:25:02.814031
00850,17.726822,-64.792245,census_gazetteer_2023,2025-09-12 15:25:02.814031
00851,17.747525,-64.787439,census_gazetteer_2023,2025-09-12 15:25:02.814031
00901,18.466594,-66.107982,census_gazetteer_2023,2025-09-12 15:25:02.814031
00906,18.46446,-66.094995,census_gazetteer_2023,2025-09-12 15:25:02.814031
00907,18.452271,-66.087625,census_gazetteer_2023,2025-09-12 15:25:02.814031
00909,18.441246,-66.068766,census_gazetteer_2023,2025-09-12 15:25:02.814031
00911,18.453656,-66.056338,census_gazetteer_2023,2025-09-12 15:25:02.814031
00912,18.445067,-66.059942,census_gazetteer_2023,2025-09-12 15:25:02.814031
00913,18.464629,-66.04459,census_gazetteer_2023,2025-09-12 15:25:02.814031
00915,18.437179,-66.045571,census_gazetteer_2023,2025-09-12 15:25:02.814031
00917,18.420674,-66.050105,census_gazetteer_2023,2025-09-12 15:25:02.814031
00918,18.422249,-66.069081,census_gazetteer_2023,2025-09-12 15:25:02.814031
00920,18.422439,-66.09214,census_gazetteer_2023,2025-09-12 15:25:02.814031
00921,18.392088,-66.087109,census_gazetteer_2023,2025-09-12 15:25:02.814031
00923,18.410804,-66.037358,census_gazetteer_2023,2025-09-12 15:25:02.814031
00924,18.399186,-66.01258,census_gazetteer_2023,2025-09-12 15:25:02.814031
00925,18.400271,-66.05059,census_gazetteer_2023,2025-09-12 15:25:02.814031
00926,18.348601,-66.053929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00927,18.388202,-66.070033,census_gazetteer_2023,2025-09-12 15:25:02.814031
00934,18.413,-66.119829,census_gazetteer_2023,2025-09-12 15:25:02.814031
00949,18.409879,-66.227441,census_gazetteer_2023,2025-09-12 15:25:02.814031
00950,18.467225,-66.237929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00951,18.42805,-66.259772,census_gazetteer_2023,2025-09-12 15:25:02.814031
00952,18.428724,-66.188931,census_gazetteer_2023,2025-09-12 15:25:02.814031
00953,18.360729,-66.251527,census_gazetteer_2023,2025-09-12 15:25:02.814031
00956,18.321137,-66.170419,census_gazetteer_2023,2025-09-12 15:25:02.814031
00957,18.366147,-66.188962,census_gazetteer_2023,2025-09-12 15:25:02.814031
00959,18.385785,-66.155654,census_gazetteer_2023,2025-09-12 15:25:02.814031
00960,18.416918,-66.142693,census_gazetteer_2023,2025-09-12 15:25:02.814031
00961,18.409907,-66.163361,census_gazetteer_2023,2025-09-12 15:25:02.814031
00962,18.439988,-66.1355,census_gazetteer_2023,2025-09-12 15:25:02.814031
00965,18.430508,-66.110917,census_gazetteer_2023,2025-09-12 15:25:02.814031
00966,18.397875,-66.113935,census_gazetteer_2023,2025-09-12 15:25:02.814031
00968,18.406063,-66.101232,census_gazetteer_2023,2025-09-12 15:25:02.814031
00969,18.366226,-66.110047,census_gazetteer_2023,2025-09-12 15:25:02.814031
00971,18.318884,-66.11919,census_gazetteer_2023,2025-09-12 15:25:02.814031
00976,18.33618,-65.994101,census_gazetteer_2023,2025-09-12 15:25:02.814031
00979,18.438359,-65.999169,census_gazetteer_2023,2025-09-12 15:25:02.814031
00982,18.408744,-65.991273,census_gazetteer_2023,2025-09-12 15:25:02.814031
00983,18.41722,-65.981317,census_gazetteer_2023,2025-09-12 15:25:02.814031
