employer_name,rows,donors,occupations,donor_places,resolved_hq,address_source
BAMKO,265,1,MARKETING,"ENCINO, CA","LOS ANGELES, CA",manual
GRT,202,1,CTO,"STAMFORD, CT","STAMFORD, CT",manual
NTR,140,1,SCIENCE; SCIENTIST,"SAN FRANCISCO, CA","SAN FRANCISCO, CA",manual
RNDC,83,2,BOARD MEMBER; EVP GOVERNMENT AFFAIRS; EXECUTIVE VICE PRESIDENT,"ATLANTA, GA; BROOKHAVEN, GA","Grand Prairie, TX",ai
HONIGMAN,74,10,ADVISOR; ATTORNEY; LAWYER,"BINGHAM FARMS, MI; BIRMINGHAM, MI; BLOOMFIELD HILLS, MI","Detroit, MI",manual
SKADDEN,67,2,ATTORNEY; LAWYER; PARTNER,"NORTHBROOK, IL; SCARSDALE, NY","New York, NY",ai
RADCO,63,2,CEO; CHIEF INVESTMENT OFFICER,"ATLANTA, GA","Atlanta, GA",manual
LSV,57,2,PARTNER; PORTFOLIO MANAGER; RESEARCH,"CHICAGO, IL","Chicago, IL",manual
RESURGENS,57,3,MEDICAL DOCTOR; OPERATING PARTNER; RETIRED,"ATLANTA, GA","Atlanta, GA",ai
ALPAC,55,1,RETIRED,"HOUSTON, TX",,
NCJW,52,1,RETIRED,"CHICAGO, IL","Washington, DC",ai
RECOM,49,1,DIVISION PRESIDENT; MERCHANT,"SPOKANE, WA","Spokane, WA",
HILLWOOD,45,1,CEO,"DALLAS, TX","Irving, TX",ai
MEDTRONIC,44,3,ATTORNEY; ENGINEER; SOFTWARE ENGINEER,"BRONX, NY; MAPLE GROVE, MN; MINNEAPOLIS, MN","Minneapolis, MN",ai
DENTONS,43,7,ATTORNEY; LAWYER; SENIOR RESEARCH TRAINING SPECIALIST,"BIRMINGHAM, AL; CHICAGO, IL; HIGHLAND PARK, IL","New York, NY",ai
PAYPAL,42,5,ATTORNEY; CHIEF IR OFFICER; MANGER OF PRODUCT MANGEMENT,"ARMONK, NY; NARRAGANSETT, RI; NEW YORK, NY","San Jose, CA",ai
STANFORD,40,4,BOWLING PROPRIETOR; PEDIATRICIAN; PHYSICIAN,"ATHERTON, CA; CALABASAS, CA; LOS ALTOS, CA","Stanford, CA",ai
KROLL,39,5,ADVISOR; ATTORNEY; COO,"DARIEN, CT; LARCHMONT, NY; NEW YORK, NY","New York, NY",ai
STROOCK,35,4,ATTORNEY; LAWYER,"BRONX, NY; NEW YORK, NY; SCARSDALE, NY","New York, NY",ai
GTS,35,1,MANAGEMENT,"BRONX, NY","New York, NY",ai
NFP,34,6,CONTROLLER; DIRECTOR; INSURANCE,"BLUE BELL, PA; CARMEL, IN; COSTA MESA, CA","New York, NY",ai
WME,33,6,"AGENT; TALENT AGENT; TALENT AGENT, PARTNER, DEPARTMENT HEAD","BEVERLY HILLS, CA; ENCINO, CA; LOS ANGELES, CA","Los Angeles, CA",ai
JAMS,32,1,MEDIATOR; RETIRED,"EVANSTON, IL","Irvine, CA",ai
CVENTURES,31,2,CONSULTANT; CONSULTING; MANAGING DIRECTOR,"LOS ANGELES, CA","LOS ANGELES, CA",
CIBC,31,2,ATTORNEY; MANAGING DIRECTOR; SENIOR COUNSEL,"MADISON, NJ; PALM BEACH GARDENS, FL","Chicago, IL",manual
BLACKROCK,31,5,ASSET MANAGEMENT; ATTORNEY; RETIRED,"LIVINGSTON, NJ; MAMARONECK, NY; NEW ROCHELLE, NY","New York, NY",ai
MAGIC,29,1,MARKETING; RETIRED,"SILVER SPRING, MD",,
KEYSTONE,29,1,PROPERTY DEVELOPMENT; PROPERTY INVESTMENT & DEVELOPMENT; REAL ESTATE,"GLADWYNE, PA",,
DOORDASH,29,2,ATTORNEY; PRODUCT MANAGER,"SEATTLE, WA; STAMFORD, CT","San Francisco, CA",ai
RAMAZ,29,1,TEACHER,"NORTH CALDWELL, NJ","New York, NY",ai
MAVEN,29,3,MANAGING DIRECTOR; REAL ESTATE DEVELOPER; REAL ESTATE DEVELOPMENT,"BETHESDA, MD; LOS ALTOS HILLS, CA; NEW YORK, NY","LOS ALTOS HILLS, CA",
GPSN,28,1,EXECUTIVE VICE PRESIDENT; MANAGING DIRECTOR,"LOS ANGELES, CA","LOS ANGELES, CA",
FIDM,28,1,RETIRED,"MARINA DEL REY, CA","Los Angeles, CA",ai
JFCS,27,1,CEO; EXECUTIVE DIRECTOR,"SAN FRANCISCO, CA","SAN FRANCISCO, CA",
TRIBETALK,27,2,ANTISEMITISM EDUCATOR AND ACTIVIST; ATTORNEY AND TEACHER; EDUCATION,"LENOX, MA; NEWTON, MA",,
RVP,27,1,INVESTMENT ADVISOR; INVESTMENT MANAGER; INVESTMENTS,"DEERFIELD, IL; NORTHBROOK, IL","NORTHBROOK, IL",
FOODGRAPH,27,1,CEO,"NEEDHAM, MA",,
PTC,26,1,EXECUTIVE VICE PRESIDENT; MANAGER,"LEXINGTON, MA","Boston, MA",ai
ADCT,25,1,BOARD CHAIR; DIRECTOR,"BOULDER, CO",,
PM&R,25,1,MEDICAL DOCTOR,"BRONX, NY",,
NETRTINGS,25,1,TECHNOLOGIST,"SAN FRANCISCO, CA",,
OPTUM,25,10,ACCT MANAGER; DIRECTOR; DOCTOR,"BELLEVUE, WA; BRONX, NY; MERCER ISLAND, WA","Eden Prairie, MN",ai
TURGO,24,1,RETIRED,"PALM BEACH GARDENS, FL","Key Biscayne, FL",
BUSINESS,24,1,RETIRED,"TIBURON, CA",,
SAVERS,24,1,RETIRED,"MERCER ISLAND, WA","Bellevue, WA",
HADASSAH,24,3,RETIRED,"BELLEVUE, WA; SUNNY ISLES BEACH, FL; WALNUT CREEK, CA","New York, NY",ai
SAVILLS,24,5,BROKER; COMMERCIAL REAL ESTATE BROKER; CORPORATE REAL ESTATE,"ATLANTA, GA; BEDFORD, NY; LOS ANGELES, CA","New York, NY",ai
GREYSTONE,24,4,ASSOCIATE; CEO; FUNDING,"BOCA RATON, FL; LIVINGSTON, NJ; NEW YORK, NY","New York, NY",ai
MCDERMOTT,24,2,ATTORNEY; LAWYER,"DALLAS, TX; MIAMI, FL","Houston, TX",ai
FINMARC,24,1,REAL ESTATE,"BETHESDA, MD; POTOMAC, MD",,
FNF,24,1,CEO,"LA JOLLA, CA; SAN DIEGO, CA","Jacksonville, FL",ai
BARCLAYS,24,2,ANALYST; BANKER; BANKING,"NEW YORK, NY","New York, NY",ai
CARTA,23,2,CUSTOMER SUCCESS; CUSTOMER SUCCESS MANAGER; SALES,"NEW YORK, NY; SACRAMENTO, CA; WALNUT CREEK, CA","San Diego, CA",ai
GUAC-LOCK,23,1,FOUNDER,"GREENWICH, CT; MIAMI BEACH, FL","Scarsdale, NY",
COMCAST,23,2,BRAND; PROJECT MANAGER,"BASKING RIDGE, NJ; PALM BEACH GARDENS, FL","Philadelphia, PA",ai
HCT,23,3,DIR. MKTG; EXECUTIVE; FINANCE,"FORT LAUDERDALE, FL; NORTH HOLLYWOOD, CA; SKOKIE, IL",,
CAREMARK,23,1,RETIRED,"NORTHBROOK, IL","Vero Beach, FL",ai
TAG,23,1,CEO; CHAIRMAN; ECB,"KENTFIELD, CA; SAN FRANCISCO, CA",,
TSO,22,1,COMM REAL ESTATE; COMMERCIAL REAL ESTATE; PRESIDENT,"BLACKSBURG, VA; MILLBORO, VA; SANIBEL, FL","Millboro, VA",
CYBREXA,22,1,CHIEF MEDICAL OFFICER; RETIRED,"MELROSE, MA","Boston, MA",ai
RENSOP,22,1,CHIEF INVESTMENT OFFICER; FINANCE; INVESTOR,"NEW YORK, NY",,
SILBEY,22,1,RETIRED,"PALM BEACH GARDENS, FL",,
MILBANK,22,2,ATTORNEY,"NEW YORK, NY; SCARSDALE, NY","New York, NY",ai
NEC,22,1,RETIRED; SURGEON,"WELLINGTON, FL","Irving, TX",ai
MFLP,22,1,INVESTMENTS,"PARK CITY, UT",,
SKYFLOW,21,1,DIRECTOR OF CUSTOMER PROGRAMS; HEAD OF CUSTOMER EXPERIENCE,"CEDAR PARK, TX; ENCINO, CA","San Francisco, CA",ai
WYSH,21,1,SALES,"LOUISVILLE, KY","Milwaukee, WI",ai
FDD,21,3,CEO; DEVELOPMENT; FUNDRAISER,"BETHESDA, MD; LOXAHATCHEE, FL; WASHINGTON, DC",,
NYC,21,3,ASSOCIATE STAFF ANALYST; ATTORNEY; PSYCHOLOGIST,"ARMONK, NY; BROOKLYN, NY; NEW YORK, NY","New York, NY",ai
MMGA,21,2,ANESTHESIOLOGIST; PHYSICIAN,"BALTIMORE, MD",,
CBIZ,21,6,ACCOUNTANT; CPA; FORENSIC ACCOUNTANT,"DEL MAR, CA; MAPLE GLEN, PA; PHILADELPHIA, PA","Cleveland, OH",ai
MKDA,20,2,ARCHITECT,"BOCA RATON, FL; NEW ROCHELLE, NY","New York, NY",ai
STUDLEY,20,2,RETIRED,"POTOMAC, MD; WATER MILL, NY","New York, NY",ai
DANLY,20,1,REAL ESTATE INVESTOR; RETIRED,"AUSTIN, TX","Dayton, OH",ai
SFSS,20,2,ADMINISTRATION; ADMINISTRATOR; DOCTOR,"BOCA RATON, FL; SAN FRANCISCO, CA",,
NOBODY,19,1,RETIRED,"PORTLAND, OR",,
SIG,19,3,FINANCE; INVESTOR; TRADER,"MERION STATION, PA; PRINCETON, NJ; VILLANOVA, PA","Bala Cynwyd, PA",ai
MATTEL,19,2,LAWYER; TV DEVELOPMENT EXEC,"BEVERLY HILLS, CA; LOS ANGELES, CA","El Segundo, CA",ai
NORTHWELL,19,8,DOCTOR; HEALTH CARE; HEALTHCARE,"GLENWOOD LANDING, NY; GREAT NECK, NY; NEW YORK, NY","Manhasset, NY",ai
LISCR,19,1,CHAIR; CHAIRMAN; CO-CHAIR,"BETHESDA, MD; MIAMI BEACH, FL","Alexandria, VA",ai
USCD,19,4,CEO; MEDICAL; PHYSICIAN,"LA JOLLA, CA; LITTLE ELM, TX; SAN DIEGO, CA","La Jolla, CA",ai
CAPLIN,19,1,LAWYER,"SILVER SPRING, MD",,
KBHOME,19,2,EXECUTIVE,"SHERMAN OAKS, CA","Los Angeles, CA",ai
BTIG,19,2,BANKING; FINANCE; SALES TRADER,"ENGLEWOOD, NJ; NEW YORK, NY","New York, NY",ai
NCC,19,1,MANAGER,"FAIRFAX STATION, VA",,
ADC,18,1,DIRECTOR,"BOULDER, CO",,
IPFS,18,1,BUSINESSMAN; FINANCE,"LEAWOOD, KS","Kansas City, MO",ai
TMB,18,1,EXECUTIVE,"LOS ANGELES, CA","San Fernando, CA",ai
SHELL,18,1,RETIRED,"NEW YORK, NY","Houston, TX",ai
CSRPS,18,2,CEO,"JENSEN BEACH, FL",,
STRETTO,18,1,CEO,"LAS VEGAS, NV","Newport Beach, CA",ai
WAYPOINT,17,2,RETIRED; SALES,"GENEVA, IL; GLENVIEW, IL","Odenton, MD",ai
PCDM,17,1,ENDODONTIST,"NEW ROCHELLE, NY",,
VPC,17,2,ASSET MANAGER; CEO,"GLENCOE, IL; HIGHLAND PARK, IL; WILMETTE, IL","Chicago, IL",ai
SRM,17,2,CEO; FINANCE,"CHARLESTON, SC; KINGSTON, PA",,
MEDSTAR,17,4,MEDICAL DOCTOR; MEDICAL REFERRAL; PHYSICIAN,"BETHESDA, MD; BROOKLYN, NY; ROCKVILLE, MD","Washington, DC",ai
