employer_name,reason,employer_address,employer_city,employer_state,employer_zip,is_primary,address_source,method,donor_states,employer_donors,filers_at_address
AMERICAN PSYCHOLOGICAL ASSOCIATION,carried_over_without_source,750 FIRST ST NE,WASHINGTON,DC,20002,True,ai,previous:uncorroborated,,,
ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED,carried_over_without_source,500 E PRATT ST STE 900,BALTIMORE,MD,21202,True,ai,previous:uncorroborated,,,
BAKER & MCKENZIE,carried_over_without_source,452 FIFTH AVE,NEW YORK,NY,10018,True,ai,previous:uncorroborated,,,
BALTIMORE JEWISH COUNCIL,carried_over_without_source,5801 SMITH AVE STE 400,BALTIMORE,MD,21209,True,ai,previous:uncorroborated,,,
BRIDGESTONE,carried_over_without_source,200 4TH AVE S,NASHVILLE,TN,37201,True,ai,previous:uncorroborated,,,
BTG,carried_over_without_source,900 THIRD AVE,NEW YORK,NY,10022,True,ai,previous:uncorroborated,,,
CALIFORNIA CABLE & TELECOMMUNICATIONS ASSOCIATION,carried_over_without_source,360 22ND ST STE 750,OAKLAND,CA,94612,True,ai,previous:uncorroborated,,,
CAPE FEAR VALLEY MEDICAL,carried_over_without_source,1638 OWEN DR,FAYETTEVILLE,NC,28304,True,ai,previous:uncorroborated,,,
CAPSULE GROUP,carried_over_without_source,142 W 57TH ST,NEW YORK,NY,10019,True,ai,previous:uncorroborated,,,
CARNIVAL CRUISE LINES,carried_over_without_source,3655 N LAKE SHORE DR,CHICAGO,IL,60613,True,ai,previous:uncorroborated,,,
CESSNA AIRCRAFT,carried_over_without_source,1 CESSNA BLVD,WICHITA,KS,67215,True,ai,previous:uncorroborated,,,
CHAPMAN AND CUTLER LLP,carried_over_without_source,111 W MONROE ST,CHICAGO,IL,60603,True,ai,previous:uncorroborated,,,
DELTA AIRLINES,carried_over_without_source,1030 DELTA BLVD,ATLANTA,GA,30354,True,ai,previous:uncorroborated,,,
DHS,carried_over_without_source,2703 MARTIN LUTHER KING JR AVE SE,WASHINGTON,DC,20528,True,ai,previous:uncorroborated,,,
EIDELMAN FINGER & HARRIS,carried_over_without_source,200 CRESCENT CT STE 700,DALLAS,TX,75201,True,ai,previous:uncorroborated,,,
FMR,carried_over_without_source,245 SUMMER ST,BOSTON,MA,02210,True,ai,previous:corroborated,,,
FREDDIE MAC,carried_over_without_source,8200 JONES BRANCH DR,MCLEAN,VA,22102,True,ai,previous:uncorroborated,,,
"GOOD DOMUS, ET AL",carried_over_without_source,510 EVERGREEN LN N,PLYMOUTH,MN,55441,True,manual,previous:uncorroborated,,,
HCHC,carried_over_without_source,450 CAPITOL AVE,HARTFORD,CT,06106,True,ai,previous:uncorroborated,,,
HEBREW HOME,carried_over_without_source,612 ALLERTON AVE,BRONX,NY,10467,True,ai,previous:uncorroborated,,,
HUMANITY UNITED,carried_over_without_source,39 W 19TH ST,NEW YORK,NY,10011,True,ai,previous:uncorroborated,,,
KPMG NORTHEAST,carried_over_without_source,345 PARK AVE,NEW YORK,NY,10154,True,ai,previous:uncorroborated,,,
LAHEY HOSPITAL,carried_over_without_source,41 MALL RD,BURLINGTON,MA,01805,True,ai,previous:uncorroborated,,,
LINCARE,carried_over_without_source,2001 BRYAN ST STE 1900,DALLAS,TX,75201,True,ai,previous:uncorroborated,,,
LOCKWOOD GREENE,carried_over_without_source,200 BERKELEY ST,BOSTON,MA,02116,True,ai,previous:uncorroborated,,,
MCA SOLUTIONS,carried_over_without_source,1100 N MARKET ST STE 1300,WILMINGTON,DE,19801,True,ai,previous:uncorroborated,,,
MENDELSOHN OSERAN SPENCER,carried_over_without_source,2000 TOWN CENTER STE 1800,SOUTHFIELD,MI,48075,True,ai,previous:uncorroborated,,,
ML FINANCIAL INC,carried_over_without_source,1201 PACIFIC AVE STE 1800,TACOMA,WA,98402,True,manual,previous:verified,,,
NRT,carried_over_without_source,1290 AVE OF THE AMERICAS,NEW YORK,NY,10104,True,ai,previous:corroborated,,,
NYC CRIMINAL COURT,carried_over_without_source,100 CENTRE ST,NEW YORK,NY,10013,True,ai,previous:uncorroborated,,,
OHSU,carried_over_without_source,3181 SW SAM JACKSON PARK RD,PORTLAND,OR,97239,True,ai,previous:uncorroborated,,,
ORTHOCAROLINA,carried_over_without_source,2001 VAIL AVE STE 200,CHARLOTTE,NC,28207,True,ai,previous:uncorroborated,,,
PERFECT FOODS,carried_over_without_source,1020 S YALE ST,ANAHEIM,CA,92805,True,ai,previous:uncorroborated,,,
PRA,carried_over_without_source,13 E 37TH ST,NEW YORK,NY,10016,True,ai,previous:uncorroborated,,,
RIVERSIDE RADIOLOGY ASSOCIATES,carried_over_without_source,2050 KIEFER BLVD,SACRAMENTO,CA,95825,True,ai,previous:uncorroborated,,,
ROCK 'N ROLL HALL OF FAME,carried_over_without_source,1100 E 9TH ST,CLEVELAND,OH,44114,True,ai,previous:uncorroborated,,,
RPS,carried_over_without_source,311 S WACKER DR STE 4300,CHICAGO,IL,60606,True,ai,previous:uncorroborated,,,
RSI,carried_over_without_source,2850 GOLF RD STE 300,ROLLING MEADOWS,IL,60008,True,ai,previous:uncorroborated,,,
SIKORSKY AIRCRAFT,carried_over_without_source,6900 MAIN ST,STRATFORD,CT,06614,True,ai,previous:uncorroborated,,,
SIROTE & PERMUTT,carried_over_without_source,2311 HIGHLAND AVE S,BIRMINGHAM,AL,35205,True,ai,previous:uncorroborated,,,
SKG,carried_over_without_source,1668 CREST DR,ENCINITAS,CA,92024,True,manual,previous:uncorroborated,,,
SOUTHERN WINE & SPIRITS,carried_over_without_source,6200 S ORANGE BLOSSOM TRL,ORLANDO,FL,32809,True,ai,previous:uncorroborated,,,
THE BENIDA GROUP,carried_over_without_source,200 PARK AVE SOUTH STE 1102,NEW YORK,NY,10003,True,ai,previous:uncorroborated,,,
THE BOEING COMPANY,carried_over_without_source,100 N RIVERSIDE,CHICAGO,IL,60606,True,ai,previous:uncorroborated,,,
THE BUCKINGHAM RESEARCH GROUP,carried_over_without_source,1000 N WEST ST,WILMINGTON,DE,19801,True,ai,previous:uncorroborated,,,
THIRD AVENUE FUND MANAGEMENT,carried_over_without_source,622 THIRD AVE 32ND FLOOR,NEW YORK,NY,10017,True,ai,previous:uncorroborated,,,
WENDY'S INTERNATIONAL,carried_over_without_source,ONE DAVE THOMAS BLVD,DUBLIN,OH,43017,True,ai,previous:uncorroborated,,,
WILLIAM MORRIS AGENCY,carried_over_without_source,9601 WILSHIRE BLVD 9TH FLOOR,BEVERLY HILLS,CA,90210,True,ai,previous:uncorroborated,,,
BDO USA PC,grounded_alias_outside_donor_states,"330 North Wabash Avenue, Suite 3200",Chicago,IL,60611,True,,ai_openai_search,GA;OH,,
BOULEVARD HEALTHCARE MANAGEMENT LLC,grounded_alias_outside_donor_states,"6400 Shafer Ct, Suite 600",Rosemont,IL,60018,True,,ai_openai_search,NY,,
CUNEO GILBERT & LADUCA LLP,grounded_alias_outside_donor_states,"1001 Pennsylvania Avenue NW, Suite 1300S",Washington,DC,20004,True,,ai_openai_search,FL,,
DEREK SMITH LAW GROUP PLLC,grounded_alias_outside_donor_states,"The Nelson Tower, 450 7th Avenue, 30th Floor",New York,NY,10123,True,,ai_openai_search,FL;PA,,
ELEVANCE HEALTH INC,grounded_alias_outside_donor_states,220 Virginia Avenue,Indianapolis,IN,46204,True,,ai_openai_search,AZ;CA,,
EQUIPMENTSHARE,grounded_alias_outside_donor_states,5710 Bull Run Drive,Columbia,MO,65201,True,,ai_openai_search,CA,,
HANGLEY ARONCHICK SEGAL PUDLIN & SCHILLER PC,grounded_alias_outside_donor_states,"One Logan Square, 27th Floor",Philadelphia,PA,19103,True,,ai_openai_search,FL;MD,,
HY-VEE INC,grounded_alias_outside_donor_states,5820 Westown Pkwy,West Des Moines,IA,50266,True,,ai_openai_search,MN,,
