employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,is_primary,address_source,address_trust
01 ADVISORS,1 LETTERMAN DR BLDG C,SAN FRANCISCO,CA,94129,37.79734,-122.464466,True,ai,grounded
10 EAST,244 5TH AVE,NEW YORK,NY,10001,40.744628,-73.9877206,True,ai,corroborated
1130 COLLINS,1130 COLLINS AVE,MIAMI BEACH,FL,33139,25.7825214,-80.1315904,True,manual,verified
13TH FLOOR INVESTMENTS,848 BRICKELL AVE PH1,MIAMI,FL,33131,25.765524,-80.184349,True,manual,verified
1440 FOODS,450 7TH AVE 10TH FLOOR,NEW YORK,NY,10123,40.7514791,-73.9907411,True,ai,grounded
154 PARTNERS,34 E 51ST ST 17TH FLOOR,NEW YORK,NY,10022,40.7579447,-73.9744308,True,ai,grounded
17LPT,,,,,,,True,,
18 MANAGEMENT,,,,,,,True,,
1826 GROUP,21050 NE 38TH AVE STE 3103,AVENTURA,FL,33180,25.9703385,-80.124495,True,ai,grounded
19 ENTERPRISES LLC,11 TORONADO DR,LATHAM,NY,12110,42.7631817,-73.7707065,True,ai,grounded
1901 PARTNERS,750 THIRD AVE 29TH FLOOR,NEW YORK,NY,10017,40.753762844225,-73.972352978967,True,ai,grounded
1970 GROUP,33 BENEDICT PL 2ND FLOOR,GREENWICH,CT,06830,41.027712352754,-73.627692461624,True,ai,grounded
1970 GROUP,100 JERICHO QUADRANGLE STE 300,JERICHO,NY,11753,40.784333515641,-73.554089080765,False,ai,grounded
1EDTECH CONSORTIUM,801 INTERNATIONAL PKWY STE 500,LAKE MARY,FL,32746,28.776297,-81.358583,True,ai,uncorroborated
1ST CENTURY BANK,1875 CENTURY PARK EAST STE 1400,LOS ANGELES,CA,90067,34.0609539,-118.4147945,True,manual,verified
21 IN 21,,,,,,,True,,
21 LAPS ENTERTAINMENT,1201 W OLYMPIC BLVD STE 2100,LOS ANGELES,CA,90015,34.046951,-118.269023,True,ai,uncorroborated
21CFI,1211 AVE OF THE AMERICAS,NEW YORK,NY,10036,40.7586695,-73.9823756,True,ai,grounded
22C CAPITAL,277 PARK AVE 40TH FLOOR,NEW YORK,NY,10172,40.7552631,-73.9742085,True,ai,corroborated
25 MADISON,817 BROADWAY 7TH FLOOR,NEW YORK,NY,10003,40.733096974261,-73.991216142906,True,ai,grounded
25 MADISON,950 PENINSULA CORPORATE CIR STE 1006,BOCA RATON,FL,33487,26.421867997229,-80.097750547105,False,ai,grounded
2U,,,,,,,True,,
2U INC,1891 PRESTON WHITE DR STE 700,RESTON,VA,20191,38.9437109,-77.3291801,True,ai,uncorroborated
3 ARTS ENTERTAINMENT,9460 WILSHIRE BLVD SEVENTH FLOOR,BEVERLY HILLS,CA,90212,34.06216,-118.401882,True,manual,verified
30 POINT STRATEGIES,659 AUBURN AVE NE STE 232,ATLANTA,GA,30312,33.7560215,-84.3661081,True,ai,grounded
303 CAPITAL PARTNERS,401 W SUPERIOR ST STE 101,CHICAGO,IL,60654,41.8952927,-87.6387531,True,ai,grounded
34TH STREET DENTAL,225 W 35TH ST #2,NEW YORK,NY,10001,40.7522171,-73.9911323,True,ai,grounded
3EDGEWOOD,4210 E CAMELBACK RD STE E,PHOENIX,AZ,85018,33.509715,-111.989897,True,ai,grounded
3I FUND,2 WOOSTER ST 2ND FLOOR,NEW YORK,NY,10013,40.721012,-74.0036839,True,ai,grounded
3P EQUITY,1650 LAS PLUMAS AVE STE F,SAN JOSE,CA,95133,37.3610643,-121.8662266,True,ai,grounded
3Q DIGITAL,1000 SANSOME ST STE 300,SAN FRANCISCO,CA,94111,37.7996876,-122.4021534,True,ai,corroborated
3SIXTY DUTY FREE,1998 NE 150TH ST,NORTH MIAMI,FL,33181,25.9137505,-80.1597017,True,ai,grounded
4 CORNERS GROUP,215 PARK AVE SOUTH STE 2010,NEW YORK,NY,10003,40.736903,-73.9884712,True,ai,grounded
5 SPOKE CREAMERY,1089 PULASKI HWY,GOSHEN,NY,10924,41.3578826,-74.3760009,True,ai,grounded
5 STAR PEST SOLUTIONS,1402 COMMERCE AVE,INDIANAPOLIS,IN,46201,39.7861286,-86.131874,True,ai,grounded
50 EIGHTH AVENUE TENANTS CORP,50 8TH AVE,BROOKLYN,NY,11217,40.6743204,-73.9726911,True,ai,grounded
510 VENTURES LLC,510 GARRISON FOREST RD,OWINGS MILLS,MD,21117,39.4191996,-76.7608811,True,manual,verified
5306 TRUMP,,,,,,,True,,
7 STAR CONSTRUCTION COMPANY,PO BOX 861,ROCK HILL,SC,29731,34.9248667,-81.0250784,True,ai,grounded
72ND STREET MEDICAL ASSOCIATES,310 E 72ND ST,NEW YORK,NY,10021,40.7684047,-73.9578231,True,ai,grounded
73V,580 BROADWAY 7TH FLOOR,NEW YORK,NY,10012,40.7246036,-73.9972882,True,ai,grounded
757CFO LLC,905 ENFIELD CHASE,VIRGINIA BEACH,VA,23452,36.8703862,-76.0744902,True,ai,grounded
76 WEST HOLDINGS,,,,,,,True,,
76UNDEFEATED,25 SE 2ND AVE STE 550,MIAMI,FL,33131,25.7737529,-80.1901314,True,ai,grounded
7H LEGACY PROPERTY LLC,,,,,,,True,,
7RIDGE,CHRYSLER BUILDING 405 LEXINGTON AVE,NEW YORK,NY,10174,40.751441,-73.975003,True,ai,grounded
808 WEST END AVENUE LLC,808 W END AVE,NEW YORK,NY,10025,40.7970793,-73.9712872,True,ai,uncorroborated
9 MUSES ART CORP,105 W 29TH ST APT 47D,NEW YORK,NY,10001,40.7468349,-73.9902614,True,ai,grounded
97 SWITCH,,,,,,,True,,
981 MANAGEMENT,520 US HWY 22,BRIDGEWATER,NJ,08807,40.592434,-74.61884,True,ai,grounded
9FIN,111 W 19TH ST 6TH FLOOR,NEW YORK,NY,10011,40.7408894,-73.9954138,True,ai,corroborated
A & R KATZ MANAGEMENT,3175 COMMERCIAL AVE STE 100,NORTHBROOK,IL,60062,42.1464109,-87.8586313,True,ai,grounded
A GIFTED SOLUTION,315 CENTRAL PARK WEST #3W,NEW YORK,NY,10025,40.7887447,-73.9670194,True,ai,grounded
A PRIORI,300 BAKER AVE STE 320,CONCORD,MA,01742,42.4599821,-71.3893114,True,ai,grounded
A SIEGEL & ASSOCIATES,,,,,,,True,,
A WISH COME TRUE,1020 IMBODEN DR,SCOTT DEPOT,WV,25560,38.446838,-81.898852,True,ai,uncorroborated
