employer_name,office_address,office_city,office_state,office_latitude,office_longitude,serves_metros,source_url,confidence
AIPAC,"110 E Broward Blvd, Suite 700",Fort Lauderdale,FL,26.1223084,-80.1433786,Weston FL,https://www.jewishgulfcoast.org/community-directory/aipac,high
AIPAC,"711 Third Ave, 12th Floor, New York, NY 10017",New York,NY,40.7127281,-74.0060152,New York NY; Wyckoff NJ; White Plains NY,https://www.yelp.com/biz/american-israel-public-affairs-committee-aipac-new-york,medium
AIPAC,"8 Greenway Plaza, Suite 1590, Houston, TX 77046",Houston,TX,29.7589382,-95.3676974,Houston TX; Bellaire TX,https://www.yelp.com/biz/american-israel-public-affairs-committee-houston,medium
AMAZON,"9336 W Washington Blvd, Culver City, CA 90232",Culver City,CA,34.0239414,-118.3934101,Los Angeles CA; Calabasas CA,https://business.culvercitychamber.com/list/member/amazon-studios-8001,high
AMAZON,"525 Market St, San Francisco, CA 94105",San Francisco,CA,37.7905075,-122.3991580,Walnut Creek CA; Mill Valley CA,https://downtownsf.org/go/amazon,high
AMAZON,"95 NW 29th St, Miami, FL 33127",Miami,FL,25.8039711,-80.1969951,Miami FL,https://floridayimby.com/2025/07/amazon-expands-footprint-at-wynwood-plaza-to-over-75000-square-feet.html,medium
AMAZON,"227 W Monroe St, Chicago, IL 60606",Chicago,IL,41.8802541,-87.6347335,Evanston IL; Skokie IL,https://www.builtinchicago.org/company/amazon/offices,high
AMAZON,"424 Fifth Avenue, New York, NY 10018",New York,NY,40.9175438,-73.8063710,New York NY; New Rochelle NY; Glen Rock NJ; Livingston NJ,https://en.wikipedia.org/wiki/Lord_&_Taylor_Building,medium
AMAZON,"2730 Sidney St, Pittsburgh, PA 15203",Pittsburgh,PA,40.4241466,-79.9603535,Pittsburgh PA,https://www.yellowpages.com/pittsburgh-pa/mip/amazon-pit-544634490,medium
AMAZON,"1400 S Eads St, Arlington, VA 22202",Arlington,VA,38.8604373,-77.0535452,Washington DC,https://www.arlingtoneconomicdevelopment.com/Locate-in-Arlington/Commercial-Development/Development-Summary-Listing-Directory-Folder/1400-S.-Eads-St.-Metropolitan-Park-Amazon-HQ2-Phase-I,high
BANK OF AMERICA,235 Woodbine St,Bergenfield,NJ,40.9166893,-74.0004438,Bergenfield NJ,https://locators.bankofamerica.com/nj/bergenfield/,high
BANK OF AMERICA,639 Route 18,East Brunswick,NJ,40.4337272,-74.3884749,Sayreville NJ,https://locators.bankofamerica.com/nj/eastbrunswick/financial-centers-east-brunswick-15020.html,high
BANK OF AMERICA,252 Rock Rd,Glen Rock,NJ,40.9623290,-74.1297790,Fair Lawn NJ,https://locators.bankofamerica.com/nj/glenrock/,high
BANK OF AMERICA,27 Beechwood Rd,Summit,NJ,40.7180419,-74.3574200,Short Hills NJ,https://locators.bankofamerica.com/nj/summit/financial-centers-summit-18156.html,high
BANK OF AMERICA,1 Flatbush Ave,Brooklyn,NY,40.6882763,-73.9801694,Brooklyn NY,https://locators.bankofamerica.com/ny/brooklyn/,high
BANK OF AMERICA,115 W 42nd St (One Bryant Park),New York,NY,40.7127281,-74.0060152,New York NY,https://locators.bankofamerica.com/ny/newyork/,high
CBRE,"1900 N Street NW, Suite 700",Washington,DC,38.8950982,-77.0363849,Washington DC,https://www.cbre.com/offices/corporate/washington-dc,high
CBRE,"401 E Las Olas Boulevard, Suite 1500",Fort Lauderdale,FL,26.1223084,-80.1433786,Fort Lauderdale FL,https://www.cbre.com/offices/corporate/fort-lauderdale,high
CBRE,"777 Brickell Avenue, Suite 1100",Miami,FL,25.7741566,-80.1935973,Miami Beach FL,https://www.cbre.com/offices/corporate/miami,high
CBRE,"3550 Lenox Road NE, Suite 2300",Atlanta,GA,33.7544657,-84.3898151,Atlanta GA,https://www.cbre.com/offices/corporate/atlanta,high
