committee_name,contributor_state,address,city,address_state,zip,note,rows,amount
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,DC,251 H Street NW,Washington,DC,20001,AIPAC headquarters,8,51555895
CHAIN BRIDGE BANK,VA,1445 Laughlin Avenue,McLean,VA,22101,bank used by political committees,29,3684245
KRAFT GROUP,MA,One Patriot Place,Foxborough,MA,02035,The Kraft Group LLC — holding company (Patriots/Revolution owner); a business not a political committee,6,3150000
DEMOCRATIC MAJORITY FOR ISRAEL,DC,,,,,,5,2000000
ACTBLUE,MA,,,,,,904,745206
PORTAGE CAPITAL,NY,"280 Park Avenue, 29th Floor East",New York,NY,10017,Portage Invest — fintech investment firm,2,650000
AMERICANS FOR TOMORROW'S FUTURE,VA,PO Box 34131,Washington,DC,20043,pro-Israel PAC,3,500000
MGT HDL HOLDINGS,AZ,"1108 S. Baldwin Ave, Suite 210",Arcadia,CA,91007,HdL Companies — revenue/tax consulting,5,450000
SF PROPERTIES,MI,"17800 Laurel Park Drive North, Suite 200C",Livonia,MI,48152,Schostak family real-estate entity,4,370000
BICO ASSOCIATES GP,TN,3100 Gilchrist Road,Mogadore,OH,44260,BICO Steel — steel plate processing,4,358375
AS BEAUTY GROUP,NY,"111 West 33rd Street, 16th Floor",New York,NY,10001,beauty holding company,2,350000
SIGNAL PRODUCTS,CA,,,,,,4,350000
TWO RADS,FL,,,,,,3,350000
MILLER BARONDESS,CA,"2121 Avenue of the Stars, 26th Floor",Los Angeles,CA,90067,litigation law firm,3,320000
CALLER PROPERTIES,KY,1015 E. New Circle Road,Lexington,KY,40505,Caller family real-estate developer,3,300000
AJM PACKAGING CORPORATION,MI,4111 Andover Road,Bloomfield Hills,MI,48302,paper products manufacturer,3,250000
RAE TRANSPORTATION,TX,,,,,,1,250000
UNIVERSAL EXPORTS,TN,,,,,,3,220000
RNL VPC,IL,,,,,,1,200000
SQUARE MANAGEMENT ASSOCIATES,NJ,,,,,,2,200000
ALL JS,OH,,,,,,1,180000
MARYLAND ASSOCIATION FOR CONCERNED CITIZENS POLITICAL ACTION COMMITTEE,MD,,,,,,59,167900
TCI OF NY,NY,,,,,,4,160180
ENERGIZED FOR CHANGE PAC,VA,,,,,,2,160000
BELL FOR MISSOURI,MO,,,,,,5644,158147
ALG LEGACY,IL,,,,,,2,150000
IDEAL CAPITAL GROUP,FL,,,,,,1,150000
GEORGE LATIMER FOR CONGRESS,NY,,,,,,4356,143109
CENTERLINE LANDING,NV,,,,,,1,140000
CHANCE FAMILY ENTERPRISES,FL,,,,,,2,125000
CHC BOLD PAC,DC,"600 Pennsylvania Ave SE, Suite 300",Washington,DC,20003,Congressional Hispanic Caucus BOLD PAC,1,120000
FANNY GRUNBERG AND ASSOCIATES,NY,,,,,,3,120000
IDEAL FASTENER,FL,603 West Industry Drive,Oxford,NC,27565,Ideal Fastener Corporation — zipper manufacturer; a business not a political committee,2,120000
BETESH GROUP HOLDING,NJ,,,,,,1,100000
C AND W ACQUISITION,NY,,,,,,1,100000
DARCO CAPITAL,PA,,,,,,1,100000
FASHION OPTIONS,NY,,,,,,1,100000
GALION,NY,,,,,,2,100000
HUDSON VALLEY,MN,,,,,,1,100000
JNP CAPITAL RESOURCES,IL,,,,,,1,100000
LENOX REAL ESTATE PARTNERS,NJ,,,,,,1,100000
LIGHTSTONE REAL ESTATE PARTNERS,NJ,,,,,,1,100000
LONSDALE ENTERPRISES,TX,,,,,,1,100000
MANHATTAN TELECOMMUNICATIONS,NY,,,,,,2,100000
NEPSA CAPITAL,CT,,,,,,2,100000
PACHULSKI STANG ZIEHL & JONES,CA,,,,,,1,100000
SPORTS PRODUCTS OF AMERICA,NY,,,,,,1,100000
TCS GROUP,IL,,,,,,1,100000
THE HELLER GROUP,NY,,,,,,1,100000
YCF GROUP,VA,,,,,,2,100000
KOHN FAMILY TRUST,CA,,,,,,2,95000
ROSEN FOR NEVADA,NV,,,,,,1463,91047
CURFIN PROPERTY,IL,,,,,,4,90000
BELZ INVESTMENT COMPANY,TN,,,,,,1,85179
G & S MOTOR EQUIPMENT CO,NJ,,,,,,3,84000
TRILOGY INTERACTIVE,CA,,,,,,5,80802
FANNY GRUNBERG AND ASSOCIATES,CT,,,,,,1,80000
MANAGEMENT ACME WIDGET HOLDCO,TX,,,,,,1,75000
THE KORNFELD FAMILY TRUST,CA,,,,,,3,75000
TORRES FOR CONGRESS,NY,,,,,,1216,69056
MASSRY BROTHERS,NJ,,,,,,1,66667
DON DAVIS FOR NC,NC,,,,,,2007,66571
DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,FL,,,,,,1023,63962
NEW SILVER LENDING,MA,,,,,,4,60000
PETE AGUILAR FOR CONGRESS,CA,,,,,,933,59078
GARSON AND COMPANY,OH,,,,,,2,59000
MAMIYE BROTHERS,NY,,,,,,2,57000
CISCOMANI FOR CONGRESS,AZ,,,,,,1028,54823
MENENDEZ FOR SENATE,NJ,PO Box 32248,Newark,NJ,07102,Bob Menendez (father) — Senate campaign committee,826,54043
COLLINS FOR SENATOR,ME,,,,,,546,52723
DEMOCRACY ENGINE,DC,,,,,,5,52574
MIKE JOHNSON FOR LOUISIANA,VA,,,,,,582,51997
JEFFRIES FOR CONGRESS,DC,PO Box 65322,Washington,DC,20035,Hakeem Jeffries — principal campaign committee,782,50934
HALEY STEVENS FOR CONGRESS,MI,,,,,,1094,50192
BLUESTAR ALLIANCE,NY,,,,,,1,50000
EATON STEEL,MI,,,,,,1,50000
EDJ CONSULTING,MN,,,,,,1,50000
GF VENTURES,NJ,,,,,,1,50000
GMM CAPITAL,NY,,,,,,1,50000
JEMB FAMILY,NY,,,,,,1,50000
JNP INVESTMENTS,IL,,,,,,1,50000
KENWAL STEEL,MI,,,,,,1,50000
KP TRUST,MO,,,,,,1,50000
MJ TUCHMAN PARTNERS,NY,,,,,,1,50000
PATRIOT MAJORITY PAC,DC,,,,,,1,50000
YCF GROUP,FL,,,,,,1,50000
YELNATS,NJ,,,,,,1,50000
DELTA ENTERPRISE,NY,,,,,,1,49950
LAWLER FOR CONGRESS,NY,,,,,,815,48112
COTTON FOR SENATE,AR,,,,,,523,46852
DON BACON FOR CONGRESS,NE,,,,,,996,45823
MIKE ROGERS FOR CONGRESS,AL,,,,,,706,44237
EMMER FOR CONGRESS,MN,,,,,,657,43768
HEARTLAND PAC,OH,,,,,,10,42226
JAKE AUCHINCLOSS FOR CONGRESS,MA,,,,,,648,42139
GRAND CANYON STATE CAUCUS,AZ,,,,,,28,42000
COMMITTEE TO ELECT JARED GOLDEN,ME,,,,,,859,41677
