hid,employer_name,reason,employer_address,employer_city,employer_state,employer_zip,is_primary,address_source,method,donor_states,employer_donors,filers_at_address,note,source_url
1,50 EIGHTH AVENUE TENANTS CORP,home_office_street_withheld,50 8TH AVE,BROOKLYN,NY,11217,True,ai,,,1,1,,
2,510 VENTURES LLC,home_office_street_withheld,510 GARRISON FOREST RD,OWINGS MILLS,MD,21117,True,manual,,,1,1,"Source: https://marylanddb.com/company/W06864136/510-ventures-llc | Maryland registry record shows 510 Ventures LLC (incorporated 2002) with resident agent Mark D. Neumann Esq. at 510 Garrison Forest Rd, Owings Mills MD 21117 - the donor's own city; other records list Mark Neumann as CEO. | Independently verified (Maryland registry shows 510 Ventures LLC (active, incorporated 2002) with business address 510 Garrison Forest Rd, Owings Mills MD 21117; the resident) | Researched by agent sweep 2026-07-30, adjudicated by hand",https://marylanddb.com/company/W06864136/510-ventures-llc
3,757CFO LLC,home_office_street_withheld,905 ENFIELD CHASE,VIRGINIA BEACH,VA,23452,True,ai,,,1,1,,
4,"ABBOTT LEE STILLMAN, ARTIST LLC",home_office_street_withheld,11 BIRCHALL DR,SCARSDALE,NY,10583,True,ai,,,1,1,,
5,ACUITY CAPITAL LLC,home_office_street_withheld,12720 HANOVER ST,LOS ANGELES,CA,90049,True,ai,,,1,2,,
6,ADVANCE PACKAGING TECHNOLOGIES,home_office_street_withheld,5720 WILLIAMS LAKE RD,WATERFORD TOWNSHIP,MI,48329,True,ai,,,1,1,,
7,ADVOCATE BROKERAGE CORP,home_office_street_withheld,820 SCARSDALE AVE,SCARSDALE,NY,10583,True,ai,,,2,1,,
8,AGI FINANCIAL,home_office_street_withheld,930 CARMEL CT,LOS ALTOS,CA,94022,True,ai,,,1,1,,
9,AINI & ASSOCIATES PLLC,home_office_street_withheld,2615 CONEY ISLAND AVE,BROOKLYN,NY,11223,True,ai,,,1,1,,
10,AJS STONE CONSULTING LLC,home_office_street_withheld,9715 CRESTA DR,LOS ANGELES,CA,90035,True,ai,,,1,2,,
11,ALAN GRAHAM MOTORING,home_office_street_withheld,8618 LINDLEY AVE,NORTHRIDGE,CA,91325,True,ai,,,1,1,,
12,ALANA MULLER ENTERPRISES,home_office_street_withheld,8209 W 145TH ST,OVERLAND PARK,KS,66223,True,ai,,,1,2,,
13,ALL ACCESS APPAREL,home_office_street_withheld,1515 GAGE RD,MONTEBELLO,CA,90640,True,ai,,,1,1,,
14,ALLAN WISER INSURANCE,home_office_street_withheld,4809 SPARKS AVE,SAN DIEGO,CA,92110,True,ai,,,1,1,,
15,ALLEN FELTMAN REAL ESTATE,home_office_street_withheld,5509 SAINT ANDREWS CT,PLANO,TX,75093,True,ai,,,1,1,,
16,ALMEL INCORPORATED,home_office_street_withheld,368 N HAMETOWN RD,AKRON,OH,44333,True,ai,,,1,1,,
17,ALPHA BETA PLANNING,home_office_street_withheld,75 JEFFERSON CT,YORKTOWN HEIGHTS,NY,10598,True,ai,,,1,1,,
18,AME EQUITIES,home_office_street_withheld,2011 BRADFORD HALL PL,CHARLOTTE,NC,28270,True,ai,,,1,1,,
19,AMERICAN FINDINGS CORP,home_office_street_withheld,10441 N SCOTTSDALE RD,SCOTTSDALE,AZ,85253,True,ai,,,1,1,,
20,AMERICAN NITRILE,home_office_street_withheld,3500 SOUTHWEST BLVD,GROVE CITY,OH,43123,True,ai,,,1,1,,
21,AMG PROPERTIES INC,home_office_street_withheld,614 W FRIENDLY AVE,GREENSBORO,NC,27401,True,manual,,,1,1,HIGH (VERIFIED) - current company listing and public business records; Paul Mengert is the donor,https://www.yellowpages.com/greensboro-nc/mip/amg-480223219
22,AMROCK HOLDINGS,home_office_street_withheld,662 WOODWARD AVE,DETROIT,MI,48226,False,ai,,,1,1,,
23,ANHALT REALTY LLC,home_office_street_withheld,240 GRAND AVE,ENGLEWOOD,NJ,07631,True,ai,,,1,1,,
24,APPROVED FINANCIAL,home_office_street_withheld,1226 JASMINE CIR,WESTON,FL,33326,True,ai,,,1,1,,
25,ARC,home_office_street_withheld,5504 ESTATE OAK CIR,FORT LAUDERDALE,FL,33312,True,ai,,,2,2,,
26,ARDMORE TOYOTA,home_office_street_withheld,219 E LANCASTER AVE,ARDMORE,PA,19003,True,ai,,,1,1,,
27,ARDR REALTY LLC,home_office_street_withheld,318 AMETHYST AVE,NEWPORT BEACH,CA,92662,True,ai,,,2,2,,
28,ARONOV REALTY MANAGEMENT INC,home_office_street_withheld,3500 EASTERN BLVD,MONTGOMERY,AL,36116,True,ai,,,1,1,,
29,ARTISTIC TILE INC,home_office_street_withheld,520 SECAUCUS RD,SECAUCUS,NJ,07094,True,manual,,,1,1,"Real HQ and distribution centre (artistictile.com, 2026-07-30). The closed-book answer of 40 W 28th St, New York was their Manhattan showroom, not the head office - and one of the two donors lives in Secaucus itself",https://www.naturalstoneinstitute.org/about/about-natural-stone-institute/2026-board-of-directors/
30,ASF WINES LLC,home_office_street_withheld,68 CLOVER DR,GREAT NECK,NY,11021,True,ai,,,1,2,,
31,ASPHALT ANCHORS CORP,home_office_street_withheld,10 RIDGE RD,WEST ORANGE,NJ,07052,True,ai,,,1,1,,
32,ASSESSMENT SOLUTIONS GROUP,home_office_street_withheld,215 LOCH LOMOND WAY,DANVILLE,CA,94526,True,ai,,,3,1,,
33,ASSOCIATION MANAGEMENT GROUP INC,home_office_street_withheld,614 W FRIENDLY AVE,GREENSBORO,NC,27401,True,ai,,,1,1,,
34,ATLANTIS CASINO RESORT & SPA,home_office_street_withheld,3800 S VIRGINIA ST,RENO,NV,89502,True,ai,,,1,1,,
35,ATLAS STRATEGY GROUP,home_office_street_withheld,15 LADUE LN,SAINT LOUIS,MO,63124,True,ai,,,1,1,,
36,AUERBACH REALTY HOLDINGS LLC,home_office_street_withheld,2416 WILSHIRE BLVD,SANTA MONICA,CA,90403,True,manual,,,1,1,"Real office (auerbachrealty.com/contact-us, 2026-07-30). Replaces a closed-book answer of 3000 Marcus Ave, Lake Success NY - the firm is in Santa Monica and both donors live in Santa Monica and Pacific Palisades",https://www.auerbachrealty.com/
37,BABACO,home_office_street_withheld,497 WASHINGTON AVE,CARLSTADT,NJ,07072,True,ai,,,1,1,,
38,BACKENGINE,home_office_street_withheld,1924 BAGLEY AVE,LOS ANGELES,CA,90035,True,ai,,,1,2,,
39,BEST CARE NURSES REGISTRY INC,home_office_street_withheld,208 S 28TH AVE,HOLLYWOOD,FL,33020,True,manual,,,1,1,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=domp-p02000033721-22830623-d85d-4c03-919a-d6723da59ab7&directionType=ForwardList&inquirytype=EntityName&listNameOrder=BESTCAREPASCO+H997710&searchNameOrder=BESTCAREREGISTRY+P020000337210&searchTerm=BEST+CARE+LABORATORY%2C+LLC
40,BLATT REALTY,home_office_street_withheld,241 S LINDEN DR,BEVERLY HILLS,CA,90212,True,ai,,,1,1,,
41,BLOOMBERG,home_office_street_withheld,731 LEXINGTON AVE,NEW YORK,NY,10022,True,ai,,,2,1,,
42,BRIAN DROR CPA INC,home_office_street_withheld,5862 W 3RD ST,LOS ANGELES,CA,90036,True,ai,,,1,2,,
43,BRISTOL ASSOCIATES,home_office_street_withheld,20 MORRIS LN,SCARSDALE,NY,10583,True,ai,,,1,1,,
44,BYNANCY,home_office_street_withheld,5020 GLORIA AVE,ENCINO,CA,91436,True,ai,,,1,1,,
45,CAMELOT BIOCAPITAL,home_office_street_withheld,1100 HOLLAND DR,BOCA RATON,FL,33487,True,ai,,,1,1,,
46,CAMPUS APARTMENTS,home_office_street_withheld,4043 WALNUT ST,PHILADELPHIA,PA,19104,True,ai,,,1,1,,
47,CANTOR INJURY LAW,home_office_street_withheld,12283 OLIVE BLVD,SAINT LOUIS,MO,63141,True,ai,,,1,1,,
48,CBG REAL ESTATE,home_office_street_withheld,4629 MACRO DR,SAN ANTONIO,TX,78218,True,ai,,,1,1,,
49,CDS MECHANICAL SERVICES,home_office_street_withheld,909 WILLIAM MEADE CT,DAVIDSONVILLE,MD,21035,True,ai,,,1,1,,
50,CERTIFIED FINANCIAL GROUP INC,home_office_street_withheld,1111 DOUGLAS AVE,ALTAMONTE SPRINGS,FL,32714,True,ai,,,1,1,,
51,CHOSEN RESUMES LLC,home_office_street_withheld,1330 CORNELL DR SE,GRAND RAPIDS,MI,49506,True,manual,,,1,1,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,https://www.bbb.org/us/mi/grand-rapids/profile/resume-services/chosen-resumes-llc-0372-38141504
52,CITRINFINANCIAL,home_office_street_withheld,3005 NE QUAYSIDE LN,MIAMI,FL,33138,True,ai,,,1,1,,
