"rid","employer_name","verdict","organisation","address","city","state","zip","source_name","source_url","note"
"427","OPTUM","corrected","Optum (UnitedHealth Group)","1 Optum Circle","Eden Prairie","MN","55344","Optum - More Optum Sites (corporate headquarters)","https://www.optum.com/en/more-optum-sites.html","Published street number 11000 is outdated; current corporate HQ listed as 1 Optum Circle."
"428","ORACLE","correct","Oracle Corporation","2300 Oracle Way","Austin","TX","78741","SEC EDGAR company filings (CIK 0001341439)","https://data.sec.gov/submissions/CIK0001341439.json","Matches SEC-registered business address."
"429","ORDORO","not_found","","","","","","","","Small private Austin SaaS firm; directories give conflicting addresses (Brazos St, W 5th St, E 6th St) and no primary source (company site, registry) states a current street address."
"430","ORTHODOX UNION","corrected","Orthodox Union","40 Rector St, 4th Floor","New York","NY","10006","OU Kosher contact page","https://oukosher.org/contact-us/","OU relocated from 305 Seventh Ave to 40 Rector St."
"431","OSAWATOMIE SH","corrected","Osawatomie State Hospital (KS Dept for Aging and Disability Services)","500 State Hospital Dr","Osawatomie","KS","66064","NPPES NPI Registry (CMS)","https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=OSAWATOMIE+STATE+HOSPITAL","Published address (509 5th St) is an outdated form; current official address is 500 State Hospital Dr."
"432","OUTERSTUFF","correct","Outerstuff LLC","1412 Broadway","New York","NY","10018","Buzzfile business profile","https://www.buzzfile.com/business/Outerstuff-LLC-212-594-9700",""
"433","OVIVA THERAPEUTICS","correct","Oviva Therapeutics, Inc. (a Granata Bio company)","289 St George St, Suite 209","Duxbury","MA","02332","Granata Bio contact page","https://www.granata.bio/contact",""
"434","PALO ALTO NETWORKS","correct","Palo Alto Networks, Inc.","3000 Tannery Way","Santa Clara","CA","95054","SEC EDGAR company filings (CIK 0001327567)","https://data.sec.gov/submissions/CIK0001327567.json",""
"435","PANOPTO","corrected","Panopto, Inc.","600 River Avenue, Suite 100","Pittsburgh","PA","15212","Panopto contact page","https://www.panopto.com/contact/","Panopto's global HQ moved to 600 River Ave; published Creekside Dr address is outdated."
"436","PANTERA","corrected","Pantera Capital (Pantera Capital Partners LP)","600 Montgomery St, 45th Floor","San Francisco","CA","94111","SEC Form ADV (CRD 284342), Item 1.F principal office","https://reports.adviserinfo.sec.gov/reports/ADV/284342/PDF/284342.pdf","Current SEC-filed principal office differs from published 44 Montgomery St address."
"437","PATRIOT AUTO GROUP","correct","Patriot Automotive Group (parent of Patriot Subaru, Patriot Nissan, Patriot Acura)","769 Portland Rd","Saco","ME","04072","Patriot Subaru official site","https://www.patriotsubaru.com/","Group's flagship/original dealership location, consistent with donor being group CEO."
"438","PATRIOT SUBARU","correct","Patriot Subaru of Saco","769 Portland Rd","Saco","ME","04072","Patriot Subaru official site","https://www.patriotsubaru.com/",""
"439","PAYJOY","corrected","PayJoy, Inc.","660 4th Street, Unit 139","San Francisco","CA","94107","PayJoy About page","https://www.payjoy.com/about","Published 26 S Park St address is outdated; current HQ is 660 4th St."
"440","PCS WIRELESS","correct","PCS Wireless, LLC","11 Vreeland Road","Florham Park","NJ","07932","PCS Wireless locations page","https://pcsww.com/contact-us/locations/",""
